library name,text,rodata,data,bss,code,flash,ram
lib\libhal.a,15132,2936,116,706,18068,18184,822
lib\libkernel.a,22188,1133,14,76470,23321,23335,76484
lib\libaudio.a,12600,2383,48,1638,14983,15031,1686
lib\libdriver.a,64360,10053,980,6247,74413,75393,7227
lib\libosi_lib.a,8160,319,0,74201,8479,8479,74201
..\..\components\newlib\armca5\libc.a,46176,2965,1534,47,49141,50675,1581
..\..\components\ql-kernel\libs\liboql_api_audio.a,14668,2560,144,119,17228,17372,263
..\..\components\ql-kernel\libs\liboql_api_power.a,3998,767,42,41,4765,4807,83
..\..\components\ql-kernel\libs\liboql_gnss.a,1826,566,0,496,2392,2392,496
..\..\components\ql-kernel\libs\libq_modem.a,1052,323,0,32,1375,1375,32
..\..\components\ql-kernel\libs\libql_api_adc.a,500,45,2,0,545,547,2
..\..\components\ql-kernel\libs\libql_api_ble.a,7042,1159,0,16,8201,8201,16
..\..\components\ql-kernel\libs\libql_api_ble_gatt.a,16386,2500,180,75,18886,19066,255
..\..\components\ql-kernel\libs\libql_api_bt.a,2890,536,0,0,3426,3426,0
..\..\components\ql-kernel\libs\libql_api_bt_ble.a,2928,1045,0,162,3973,3973,162
..\..\components\ql-kernel\libs\libql_api_bt_hfp.a,3378,678,60,26,4056,4116,86
..\..\components\ql-kernel\libs\libql_api_bt_sdp.a,520,252,4,0,772,776,4
..\..\components\ql-kernel\libs\libql_api_bt_spp.a,1216,373,20,30,1589,1609,50
..\..\components\ql-kernel\libs\libql_api_camera.a,2856,549,0,28,3405,3405,28
..\..\components\ql-kernel\libs\libql_api_common.a,1208,114,17,118,1322,1339,135
..\..\components\ql-kernel\libs\libql_api_datacall.a,16520,3160,62,1910,19680,19742,1972
..\..\components\ql-kernel\libs\libql_api_dev.a,2356,410,11,4,2766,2777,15
..\..\components\ql-kernel\libs\libql_api_fota.a,3436,1024,2,0,4460,4462,2
..\..\components\ql-kernel\libs\libql_api_fs.a,12080,2360,188,24,14440,14628,212
..\..\components\ql-kernel\libs\libql_api_ftp.a,7424,800,12,0,8224,8236,12
..\..\components\ql-kernel\libs\libql_api_gpio.a,4424,478,0,256,4902,4902,256
..\..\components\ql-kernel\libs\libql_api_http.a,2816,188,0,4,3004,3004,4
..\..\components\ql-kernel\libs\libql_api_i2c.a,1480,102,36,0,1582,1618,36
..\..\components\ql-kernel\libs\libql_api_keypad.a,436,100,36,0,536,572,36
..\..\components\ql-kernel\libs\libql_api_lcd.a,4834,298,10,14,5132,5142,24
..\..\components\ql-kernel\libs\libql_api_mqtt.a,3608,283,0,24,3891,3891,24
..\..\components\ql-kernel\libs\libql_api_nw.a,28518,12809,1425,2108,41327,42752,3533
