section name,section type,size
.sramboottext,text,194
.text,text,238620
.text.prvTaskExitError,text,8
.text.pxPortInitialiseStack,text,148
.text.xPortStartScheduler,text,60
.rodata.ulICCEOIR,rodata,4
.rodata.ulICCIAR,rodata,4
.sramtext,text,902
.sramtext.irq.212,ignore,80
.sramtext.profile.95,ignore,148
.sramtext.profile.146,ignore,28
.sramtext.profile.161,ignore,4
.sramtext.profile.172,ignore,18
.sramtext.profile.183,ignore,22
.ramtext.flashdrv.183,ignore,70
.ramtext.flashdrv.343,ignore,54
.ramtext.flashdrv.297,ignore,188
.ramtext.flashdrv.369,ignore,56
.ramtext.flashdrv.394,ignore,160
.ramtext.flashdrv.541,ignore,416
.ramtext.flashdrv.599,ignore,308
.ramtext.flashhal.989,ignore,228
.ramtext.flashhal.245,ignore,32
.ramtext.flashhal.313,ignore,20
.ramtext.flashhal.329,ignore,36
.ramtext.flashhal.239,ignore,22
.ramtext.flashhal.520,ignore,10
.ramtext.flashhal.528,ignore,10
.ramtext.flashhal.536,ignore,10
.ramtext.flashhal.544,ignore,10
.ramtext.flashhal.509,ignore,10
.ramtext.flashhal.498,ignore,10
.ramtext.flashhal.487,ignore,10
.ramtext.flashhal.907,ignore,26
.ramtext.flashhal.227,ignore,18
.ramtext.flashhal.346,ignore,24
.ramtext.flashhal.397,ignore,36
.ramtext.flashhal.476,ignore,12
.ramtext.flashhal.370,ignore,100
.ramtext.flashhal.1068,ignore,10
.ramtext.flashhal.414,ignore,388
.ramtext.flashhal.450,ignore,108
.ramtext.flashhal.1076,ignore,10
.ramtext.flashhal.1084,ignore,10
.ramtext.flashhal.1092,ignore,10
.ramtext.flashhal.1100,ignore,26
.ramtext.flashhal.1136,ignore,38
.ramtext.flashhal.1149,ignore,16
.ramtext.flashhal.1108,ignore,108
.ramtext.flashhal.1272,ignore,396
.ramtext.flashhal.1385,ignore,268
.ramtext.flashhal.103,ignore,68
.ramtext.flashhal.126,ignore,68
.ramtext.flashhal.149,ignore,68
.ramtext.flashhal.172,ignore,60
.ramtext.flashhal.63,ignore,52
.ramtext.flashhal.82,ignore,60
.ramtext,text,52
.ramtext.osi_log.423,ignore,168
.ramtext.osi_log.450,ignore,136
.ramtext.osi_log.518,ignore,36
.ramtext.osi_log.532,ignore,36
.ramtext.osi_trace.122,ignore,184
.ramtext.osi_trace.206,ignore,236
.text.access,text,44
.text.atoi,text,8
.text.atol,text,8
.text.bsearch,text,70
.rodata._ctype_,rodata,257
.text.div,text,48
.text.quorem,text,294
.rodata._dtoa_r.str1.1,rodata,13
.text._dtoa_r,text,2640
.text.__env_lock,text,12
.text.__env_unlock,text,12
.text.__errno,text,8
.text._fclose_r,text,168
